matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_info,estoque,inicio_negativacao,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2723,419260000555,3244897-4,FUEL CONTROL UNIT,IPLR,2026-06-22,2026-06-23,Não,2026-06-24,2026-07-02,2026-07-01,2026-07-01
2721,329260019179,066-3046-07,"CONTROL,INDICATOR",AIFP,2026-07-02,2026-07-03,Não,2026-07-06,,2026-07-06,2026-07-18
2721,329260019181,C145-00-46,TRANSMISSION ASSY,AIFP,2026-07-06,2026-07-07,Não,2026-07-08,,2026-07-08,2026-07-18
2723,419260000556,066-3046-07,"CONTROL,INDICATOR",AIFP,2026-07-07,2026-07-08,Não,2026-07-09,,2026-07-09,2026-07-18
2733,396260016563,3244809-4,"FUEL CONTROL,MAIN,TU",IPLR,2026-07-08,2026-07-08,Não,2026-07-09,,2026-07-09,2026-07-18
2723,419260000557,3244897-4,FUEL CONTROL UNIT,AIFP,2026-07-08,2026-07-09,Não,2026-07-10,,2026-07-10,2026-07-18
2729,685260012368,C611008-0101,ALTERNATOR CONTROL U,IPLR,2026-07-13,2026-07-14,Não,2026-07-15,,2026-07-15,2026-07-18
2743,386260013445,C611008-0101,ALTERNATOR CONTROL U,IPLR,2026-07-10,2026-07-14,Não,2026-07-15,,2026-07-15,2026-07-18
2722,685260012377,C611008-0101,ALTERNATOR CONTROL U,IPLR,2026-07-14,2026-07-15,Não,2026-07-16,,2026-07-16,2026-07-18
2722,685260012387,066-3084-32,IND RDR 2000 IN-182A,IPLR,2026-07-16,2026-07-15,Não,2026-07-16,,2026-07-16,2026-07-18
2729,685260012394,3011755,"INSULATION BLANKET,T",IPLR,2026-07-16,2026-07-16,Não,2026-07-17,,2026-07-17,2026-07-18
